Distance_km,Pace_min_km
5.0287,4.99151442547669
1.9219000000000002,6.235191420376606
12.1005,7.224389539083948
6.648899999999999,6.221226825930074
5.0535,4.907734589713388
2.4858000000000002,5.275931201857128
5.1934,5.920663114268799
9.030899999999999,6.014675808973896
2.4904,6.472491909385113
5.07,5.128205128205128
2.6124,5.594718585655142
15.398299999999999,7.044237813468582
7.0466999999999995,5.98874116660678
6.0138,5.793071486502144
5.1166,6.150061500615006
6.0077,5.916459590580996
8.2944,5.948132286462051
6.4967,6.207324643078833
14.5746,5.9952038369304566
7.0599,5.749108888122341
6.8841,5.630630630630631
6.0619,6.1568772318679965
3.8924000000000003,6.294058408862034
6.3726,5.793071486502144
6.3333,5.841803949059469
10.5716,5.811250581125058
1.9827000000000001,7.726781023025807
5.01,5.428881650380022
13.1521,6.116207951070336
5.010800000000001,5.651633322030067
5.8841,5.8132775258690845
2.905,6.487608667445179
1.9096,7.966857871255576
7.9343,5.73921028466483
6.6825,5.99736116108912
8.794,6.08272506082725
5.018,5.340168749332479
6.345899999999999,6.432522835456066
21.320400000000003,5.83158385817588
1.0123,5.779010633379566
5.2458,5.324813631522897
10.356,6.003842459173871
5.0173000000000005,5.9038847561695595
7.0781,5.935422602089269
2.061,7.521058965102285
22.9187,6.184291898577613
5.459899999999999,6.047411707789067
5.1227,5.920663114268799
5.5306999999999995,5.5060015416804315
10.1647,6.184291898577613
7.1126000000000005,5.982292414453218
5.0732,4.901960784313726
2.1452,5.663155510250311
13.4528,6.175126590095098
10.0505,5.333333333333333
1.1113,5.609783462358353
12.644,6.0805058980907205
7.059699999999999,6.109481915933529
6.764600000000001,6.0540016951204745
7.8888,5.749108888122341
8.6984,5.587216448765225
16.428,6.363752068219422
1.9707000000000001,7.662835249042146
7.5642,6.656017039403621
12.126100000000001,7.730364873222015
21.5092,6.30119722747322
9.619399999999999,6.337135614702155
7.048100000000001,5.960896518836433
6.8711,6.125199068969741
8.7454,6.696129637069774
6.807300000000001,6.277463904582549
10.2709,5.95876534382076
8.6991,5.931198102016607
16.5888,6.462453147214682
7.7495,6.170554115759596
8.682799999999999,6.327512022272843
9.225299999999999,6.361323155216285
18.3007,6.16827041697508
7.1497,5.967299200381906
7.7052,6.08272506082725
8.370899999999999,6.690753378830456
16.624299999999998,6.214267959234403
6.8692,6.113964294448521
6.0918,6.216585851050604
6.8715,5.606009642336585
13.3814,6.150061500615006
5.2532,6.2375249500998
5.5705,6.008171112713289
8.4315,5.939653124257544
8.4602,6.263309532757108
16.5371,6.216585851050604
2.6591,5.52242102937928
6.925800000000001,5.551854319342661
7.242100000000001,8.56457690990065
7.0383000000000004,6.184291898577613
3.3241,5.645889792231256
5.464300000000001,6.16827041697508
13.3617,7.49063670411985
4.2423,6.100536847242557
7.092,6.089392278650591
13.614700000000001,7.6522803795531065
12.4921,6.152331733727082
4.6636999999999995,5.878894767783657
1.4914,6.067224851352991
8.346,7.014590347923682
10.103299999999999,5.705808513066302
5.0739,5.294366793731469
2.2418,5.954507562224604
8.3074,6.125199068969741
6.476100000000001,6.805498843065197
8.0166,6.043026347594876
9.7925,6.736728644570196
6.2885,6.0606060606060606
5.0167,5.216484089723527
1.1273,5.767012687427912
2.031,7.730364873222015
5.1421,7.662835249042146
7.3662,7.368110816386678
7.8871,6.165988407941794
5.0168,5.982292414453218
7.383100000000001,6.872852233676976
6.7626,7.1103526734926055
12.0281,6.223549912870301
8.2345,6.603275224511358
13.9496,9.218289085545724
3.3661,6.847439057792386
8.3658,6.739452756436178
7.164,5.969436485195798
10.6444,6.320313487548983
11.3115,6.505334374186833
10.0314,5.943889681407513
9.1894,6.680026720106881
