"Distance_km","Pace_min_km"
2.3698,5.93542260208927
0.6829,5.27092557453089
2.0461,5.80720092915215
2.0494,5.6844020009095
3.0151,5.95876534382076
2.7894,5.77100646352724
2.5279,6.07164541590771
1.0154,6.0562015503876
5.5104,5.88304506412519
2.1008,6.90131124913734
3.5568,6.36861546299834
8.0578,5.92908810624926
1.8436,6.20963735717834
0.7158,5.75109270761445
9.0262,5.99089384136113
5.05,5.76900888427368
7.7357,5.80517821897132
5.0212,5.55555555555556
7.0541,5.70385580652521
5.0357,5.66700668706789
6.0304,5.78101514625968
4.7244,5.45375218150087
5.043,5.3573341905068
5.0179,5.80315691736305
5.0417,5.87061171774099
5.0262,5.39548937088594
5.0464,5.9545075622246
4.0228,5.77901063337957
4.053,5.7850283466389
3.2503,5.8913632614587
3.1575,5.85823081429408
1.0591,5.68052715291979
3.0171,5.71755288736421
3.2728,6.58501251152377
1.419,7.74113639882335
10.0279,5.82954412964906
7.1962,6.40040962621608
7.4895,5.6554688383667
5.0342,5.55555555555556
7.5712,5.86441473140981
14.1181,5.50782110597048
6.6938,5.45732372844357
3.4629,5.39548937088594
5.0328,5.07356671740233
8.0313,5.34359303195469
15.0127,5.48787180331467
8.7439,5.11247443762781
10.0304,4.91787154519524
5.0143,5.08905852417303
21.1723,5.6844020009095
3.3436,5.04439063761098
2.4766,5.28262017960909
10.7953,5.23944252331552
5.2698,5.40248514316586
10.0154,5.52242102937928
10.0174,4.84496124031008
1.9232,5.77100646352724
5.0159,5.56483027267668
10.0164,5.175983436853
5.215,5.24769101595298
16.6343,5.60224089635854
10.0272,5.57227237267358
10.0176,5.19372597901735
5.0852,4.61169525917727
5.025,5.2099614462853
21.2239,5.65163332203007
10.3041,5.48967940272288
5.0211,5.73921028466483
6.7375,5.06893755068938
15.0805,5.35561268209083
5.0207,5.37807895019899
5.0668,5.04286434694907
18.5303,5.52608311229001
10.3192,5.3453068206115
10.0169,4.9885263893046
0.3314,5.38155203960822
6.4819,4.92659375307912
5.3278,5.35217298223079
16.5665,5.28429507503699
5.0506,5.18403317781234
11.5765,5.0612410162972
6.0241,5.38677009265245
15.0409,5.31801744309721
6.0863,5.41125541125541
5.0078,4.74563401670463
10.1329,5.28094634558513
4.9468,5.11090667484412
10.0427,5.1250512505125
5.1068,5.15995872033024
2.9315,5.53709856035437
15.3321,5.10308226168606
5.5981,4.83792936623125
0.1466,4.8890192627359
11.8519,5.23944252331552
6.8406,5.19210799584631
5.1677,5.09216824523882
5.2781,5.28262017960909
2.4791,5.98229241445322
14.1654,5.37807895019899
6.0168,5.0612410162972
13.3086,5.36250536250536
6.0238,5.00500500500501
12.1429,5.40774388924941
6.691,4.99750124937531
10.0231,4.9573666468372
11.033,5.11090667484412
5.286,5.05356781888013
10.1514,5.24109014675052
10.262,5.2197515398267
6.6996,5.37287771330324
7.1064,5.21811730327698
10.0736,5.38677009265245
6.4444,5.66315551025031
0.1572,7.20876585928489
6.6412,5.40073449989199
6.6463,5.55926173004225
10.0181,5.48065329387263
7.6447,5.13610683102209
6.363,5.26925914216461
7.8653,5.4608999563128
6.9007,5.17759138448794
5.9921,5.14880032952322
8.2578,6.07607242678333
5.4426,5.09216824523882
10.0173,5.44306553450904
5.2208,5.35045478865703
6.2115,5.32311295645694
4.938,4.86760124610592
2.435,5.3248136315229
5.4263,5.36595836016313
6.7726,5.50964187327824
4.8382,5.19858598461219
5.105,6.45494448747741
1.1457,5.58534405719392
4.8799,4.90051945506224
2.0759,5.62872903298435
6.7748,5.44662309368192
1.1738,5.29604914733609
4.7788,5.07511165245635
1.95,5.57227237267358
6.9345,5.37807895019899
4.9007,4.80584390618993
2.0378,5.13610683102209
2.9416,5.90388475616956
5.9186,5.68052715291979
7.1139,5.05050505050505
5.2623,5.44128849711612
4.8514,4.92659375307912
7.0061,5.61356236667789
6.0992,5.6785917092561
5.0103,5.09216824523882
6.2069,5.86647893934061
4.9374,5.28597103287874
5.9161,5.90179414542021
4.5415,5.52608311229001
4.9415,5.39898499082173
4.9529,5.30954656472337
4.9939,5.30954656472337
4.9355,5.45018530630041
3.5064,6.00817111271329
4.9479,5.6999544003648
4.9129,5.26426616129712
5.5638,5.76701268742791
5.0158,5.76900888427368
2.6845,6.08494584398199
3.8089,6.19118375433383
21.2659,5.48065329387263
5.8408,5.48967940272288
