"Year","Week","TotalDistance"
2019,48,0
2019,49,0
2019,50,4.9479
2019,51,8.4419
2019,52,9.9468
2019,53,0
2020,1,4.9415
2020,2,15.395
2020,3,11.2172
2020,4,17.9567
2020,5,12.3762
2020,6,15.7987
2020,7,14.8371
2020,8,14.8763
2020,9,9.9432
2020,10,19.5719
2020,11,21.4496
2020,12,19.6925
2020,13,14.766
2020,14,24.0258
2020,15,13.4447
2020,16,23.6244
2020,17,27.113
2020,18,26.3421
2020,19,18.8339
2020,20,25.3492
2020,21,21.9226
2020,22,23.8602
2020,23,24.0083
2020,24,20.0963
2020,25,21.227
2020,26,37.6921
2020,27,28.7076
2020,28,20.3361
2020,29,28.6178
2020,30,37.1432
2020,31,26.2489
2020,32,25.13
2020,33,21.8493
2020,34,26.9729
2020,35,31.9007
2020,36,21.1723
2020,37,23.7886
2020,38,23.044
2020,39,8.4957
2020,40,28.3831
2020,41,19.7199
2020,42,10.0279
2020,43,0
2020,44,0
2020,45,0
2020,46,0
2020,47,1.419
2020,48,0
2020,49,0
2020,50,0
2020,51,0
2020,52,0
2020,53,3.2728
2021,1,0
2021,2,0
2021,3,0
2021,4,3.0171
2021,5,1.0591
2021,6,6.4078
2021,7,8.0758
2021,8,10.0726
2021,9,5.0417
2021,10,5.0179
2021,11,0
2021,12,9.7674
2021,13,11.0661
2021,14,7.0541
2021,15,17.8069
2021,16,11.5856
2021,17,0
2021,18,8.0578
2021,19,11.168
2021,20,1.0154
2021,21,0
2021,22,0
2021,23,2.5279
2021,24,5.8045
2021,25,7.1482
2021,26,7.7206
2021,27,9.11
2021,28,11.1634
2021,29,5.9566
2021,30,5.0208
2021,31,5.0105
2021,32,11.2877
2021,33,10.4923
2021,34,10.2819
2021,35,8.2959
2021,36,11.4851
2021,37,13.913
2021,38,14.0912
2021,39,5.0073
2021,40,10.0267
2021,41,17.705
2021,42,18.0763
2021,43,22.1927
2021,44,25.5295
2021,45,30.7114
2021,46,30.8611
2021,47,24.9742
2021,48,20.2817
2021,49,25.9532
2021,50,26.8213
2021,51,12.8111
2021,52,23.2224
2021,53,0
2022,1,28.2884
2022,2,40.3565
2022,3,13.5773
2022,4,42.7984
2022,5,0
2022,6,0
2022,7,0
2022,8,3.5073
2022,9,13.644
2022,10,37.5726
2022,11,15.3928
2022,12,30.6321
2022,13,12.039
2022,14,22.5147
2022,15,27.4832
2022,16,23.7809
2022,17,27.4589
2022,18,21.8826
2022,19,20.113
2022,20,26.4629
2022,21,21.5054
2022,22,10.4556
2022,23,21
2022,24,17.2198
2022,25,21.2502
2022,26,26.9989
2022,27,13.9534
2022,28,16.377
2022,29,23.6313
2022,30,0
2022,31,15.0547
2022,32,17.2761
2022,33,23.4085
2022,34,31.8186
2022,35,26.3351
2022,36,39.0856
2022,37,26.9176
2022,38,26.178
2022,39,30.67
2022,40,0
2022,41,5.1207
2022,42,27.1374
2022,43,22.9576
2022,44,16.5545
2022,45,21.9886
2022,46,26.6866
2022,47,26.1859
2022,48,22.0525
2022,49,25.5136
2022,50,7.4897
2022,51,13.7672
2022,52,24.703
2022,53,0
2023,1,40.0173
2023,2,38.5291
2023,3,17.5718
2023,4,11.9079
2023,5,23.6004
2023,6,21.3166
2023,7,26.1178
2023,8,14.9489
2023,9,21.9956
2023,10,24.2838
2023,11,15.9875
2023,12,12.9815
2023,13,13.6076
2023,14,18.3568
2023,15,21.7658
2023,16,16.4882
2023,17,19.1825
2023,18,8.967
2023,19,0
2023,20,16.3441
2023,21,21.0471
2023,22,6.915
2023,23,11.7124
2023,24,17.1842
2023,25,8.0086
2023,26,14.1164
2023,27,11.9886
2023,28,17.4671
2023,29,15.9551
2023,30,9.9051
2023,31,14.2664
2023,32,16.5127
2023,33,19.8194
2023,34,15.8504
2023,35,16.7629
2023,36,1.848
2023,37,0.8798
2023,38,0
2023,39,1.0764
2023,40,4.2372
2023,41,6.8068
2023,42,7.0212
2023,43,5.5152
2023,44,0
2023,45,5.6736
2023,46,0
2023,47,0
2023,48,6.5576
2023,49,3.938
2023,50,13.2165
2023,51,5.7532
2023,52,0
2023,53,0
2024,1,10.0578
2024,2,7.3664
2024,3,1.2613
2024,4,0
2024,5,0
2024,6,2.9536
2024,7,0
2024,8,7.6449
2024,9,16.5694
2024,10,10.3898
2024,11,16.5143
2024,12,15.7541
2024,13,21.0291
2024,14,21.9559
2024,15,32.8455
2024,16,20.2626
2024,17,19.1625
2024,18,28.5704
2024,19,24.0976
2024,20,32.2025
2024,21,26.9932
2024,22,20.7067
2024,23,23.0683
2024,24,24.5303
2024,25,36.0879
2024,26,31.0766
2024,27,29.5853
2024,28,41.5265
2024,29,42.2464
2024,30,18.97
2024,31,29.4719
2024,32,31.1286
2024,33,38.089
2024,34,23.3518
2024,35,30.8655
2024,36,27.7838
2024,37,20.8181
2024,38,30.4396
2024,39,22.4514
2024,40,27.5785
2024,41,11.3639
2024,42,28.2254
2024,43,24.047
2024,44,6.9927
2024,45,16.9049
2024,46,16.3269
2024,47,28.5186
2024,48,14.7911
2024,49,6.0077
2024,50,5.1166
2024,51,13.0605
2024,52,15.3983
2024,53,0
2025,1,10.1728
2025,2,21.7636
2025,3,30.0758
2025,4,43.3718
2025,5,62.726
2025,6,30.4606
